235,576,405
287,164,596
199,208,767
124,733,998
200,811,943
42,321,244
168,579,202
47,592,663
47,159,710
86,620,284
45,257,648
51,967,703
38,526,463
62,605,077
27,100,014
35,697,033
17,892,213
39,476,931
45,267,921
32,684,710
18,209,068
13,174,225
122,907,449	
151,749,266	
102,614,892	
62,668,451	
101,428,445	
21,867,896	
87,858,205	
24,706,759	
24,389,100	
44,516,358	
23,103,338	
26,399,221	
19,826,222	
31,695,819	
13,832,789	
18,664,351	
9,341,102	
21,131,979	
23,045,795	
16,352,325	
9,542,830	
6,799,798	
122,756,575	
152,952,317	
104,338,963	
65,515,580	
103,199,303	
21,716,055	
87,282,948	
24,913,213	
25,088,258	
45,733,088	
23,843,089	
26,837,037	
19,882,690	
32,110,341	
14,206,571	
19,065,273	
9,328,683	
21,208,019	
23,547,441	
16,740,771	
9,811,002	
6,892,717	
153,401,475	
191,825,089	
130,101,394	
80,043,982	
127,229,370	
26,806,925	
110,741,034	
30,565,305	
30,814,756	
56,300,902	
29,404,431	
33,122,155	
24,503,850	
39,012,812	
17,477,023	
23,146,092	
11,502,573	
25,448,199	
28,814,964	
20,233,942	
12,123,535	
8,562,284	
133,313,579	
162,430,521	
109,804,176	
68,215,749	
108,478,593	
22,808,241	
93,250,710	
25,704,728	
25,885,684	
47,839,489	
24,973,714	
27,575,505	
20,956,758	
33,225,579	
15,039,245	
19,844,714	
9,779,921	
21,697,233	
24,644,079	
17,138,152	
10,389,664	
7,316,825	
149,313,133	
185,331,457	
124,963,117	
77,931,257	
123,302,229	
25,909,856	
107,953,699	
29,942,219	
29,465,593	
54,456,892	
28,309,501	
31,627,921	
23,695,823	
37,878,297	
17,189,307	
22,631,296	
11,248,873	
24,321,106	
28,769,517	
19,608,334	
11,928,025	
8,346,956	
108,958,289	
138,966,669	
92,415,538	
57,503,700	
89,208,221	
19,061,681	
79,521,844	
22,368,070	
22,097,562	
40,448,244	
21,178,459	
23,308,138	
17,466,838	
27,795,740	
12,528,218	
16,847,012	
8,248,153	
18,195,938	
20,583,808	
14,275,945	
9,032,249	
6,151,123	
193,098,878	
255,511,478	
172,113,835	
111,138,942	
173,366,114	
37,056,181	
144,894,102	
41,104,158	
42,531,469	
77,273,588	
41,023,029	
46,589,518	
35,265,051	
55,529,556	
24,088,725	
32,629,788	
15,600,068	
33,770,666	
39,125,578	
27,751,514	
16,765,570	
11,571,498	
124,338,677	
157,993,121	
106,078,778	
64,785,301	
102,094,762	
21,807,834	
90,575,390	
25,125,874	
25,215,479	
45,888,849	
24,455,488	
26,658,448	
20,282,944	
31,746,027	
14,292,176	
19,167,668	
9,309,388	
21,004,997	
23,185,435	
16,434,657	
10,075,747	
7,027,387	
173,152,132	
214,163,923	
145,790,787	
90,853,300	
143,048,567	
30,373,704	
122,205,430	
34,972,879	
34,716,499	
63,460,251	
33,891,470	
37,607,673	
28,152,890	
43,961,722	
19,910,795	
26,663,767	
13,027,158	
28,473,513	
33,313,776	
22,831,988	
13,804,139	
9,711,233	
134,533,785	
173,540,750	
115,837,346	
70,922,803	
113,158,711	
24,507,080	
98,115,150	
28,106,394	
27,603,662	
50,594,526	
26,852,940	
29,493,126	
21,755,743	
34,550,873	
15,719,816	
20,772,688	
10,325,731	
23,655,971	
25,929,602	
18,311,415	
10,937,112	
7,680,881	
143,669,629	
181,847,771	
125,231,066	
76,126,623	
122,302,081	
26,076,594	
103,873,228	
29,485,274	
29,808,298	
54,734,867	
28,194,141	
31,866,327	
23,450,758	
36,576,930	
16,854,137	
22,132,370	
10,971,734	
24,172,510	
27,857,451	
19,580,931	
11,773,002	
8,197,442	
285,236,211	
361,002,479	
253,308,359	
162,331,589	
265,669,374	
53,307,548	
216,542,956	
62,670,621	
62,588,461	
110,422,522	
57,805,779	
66,796,862	
49,568,915	
78,211,041	
35,289,521	
46,063,931	
22,750,323	
49,203,924	
59,590,119	
41,122,348	
23,686,170	
16,929,993	
124,940,013	
161,599,035	
110,380,324	
67,261,964	
110,555,838	
24,084,559	
96,278,892	
27,775,320	
27,434,112	
47,609,972	
24,803,728	
28,601,980	
21,651,752	
32,913,060	
14,986,539	
19,829,642	
9,786,139	
22,257,537	
25,966,810	
17,841,264	
10,157,398	
7,337,408	
159,598,624	
205,360,784	
139,233,404	
86,115,668	
138,399,456	
29,373,125	
123,216,308	
33,825,600	
33,984,095	
60,732,035	
31,766,365	
36,269,918	
26,836,993	
41,967,084	
19,146,849	
25,520,060	
12,421,753	
27,726,450	
31,513,771	
22,332,509	
13,003,910	
9,305,398	
147,931,067	
191,697,366	
131,432,397	
82,496,444	
133,296,281	
27,513,767	
114,075,786	
31,482,153	
31,909,694	
56,409,929	
29,482,970	
33,774,578	
25,193,988	
40,055,685	
18,063,886	
24,400,929	
11,604,700	
25,849,418	
29,517,806	
21,072,527	
12,231,379	
8,787,258	
143,901,023	
194,082,015	
133,282,559	
83,685,996	
136,788,863	
27,977,142	
116,444,346	
32,852,840	
32,223,748	
58,046,559	
30,039,018	
34,329,087	
25,430,182	
40,161,589	
18,567,211	
24,681,301	
11,757,065	
26,364,930	
29,815,197	
21,396,621	
12,324,811	
8,826,814	
441,505,953	
578,003,562	
403,183,567	
250,975,334	
410,945,413	
86,073,527	
354,009,988	
100,849,828	
98,489,019	
176,188,321	
93,115,670	
104,710,501	
75,826,555	
120,568,151	
55,098,737	
72,323,796	
36,178,664	
80,990,451	
91,564,612	
64,973,107	
37,176,304	
26,801,502	
